Title,Company,Location,Posted,Job Type,Seniority,Description
Senior Data Scientist,Azendo,"Bangkok City, Thailand",9 hours ago,"Seniority level
Mid-Senior level","Employment type
Full-time","Azendo is looking for a talented Senior Data Scientist to join our team. This is your opportunity to be part of a company that combines a proven business model with forward-thinking strategies, shaping the future of a rapidly growing industry.
By joining Azendo, you will secure a dynamic and highly visible role where your contributions will make a tangible difference. As a  at Azendo, you will work in a multi-disciplinary environment, leveraging data to create real-world impact for organizations"
手机本地化测试工程师,iSoftStone,"Bangkok City, Thailand",3 weeks ago,"Seniority level
Entry level","Employment type
Full-time","Job Responsibilities
Xiaomi mobile phone localization test

Job Requirements
1: At least half a year of experience in mobile phone hardware testing.
Show more"
,,,,,,
,,,,,,
AI-Augmented Full-Stack Engineer,Ascend Group,"Bangkok, Bangkok City, Thailand",2 weeks ago,"Seniority level
Associate","Employment type
Full-time","ABOUT US

Pantavanij is one of the largest eProcurement Platform Providers in South East Asia. We are providing cloud-based eProcurement solutions to large enterprise customers in all industries. Our business is growing very fast and we are looking for talents to join our success. www.pantavanij.com/









Show more"
New Graduate Program - Quality Engineer,Tata Consultancy Services,"Bangkok, Bangkok City, Thailand",1 week ago,"Seniority level
Entry level","Employment type
Full-time","Program Overview.
TCS’s New Graduate Program is designed to help fresh graduates develop technical skills and real-world experience through On-the-Job Training. You will work on real projects, learn from industry professionals, and enhance both hard and soft skills in a supportive environment.



Show more"
Data and AI Technology Sales Engineer,IBM,"Bangkok, Bangkok City, Thailand",2 weeks ago,"Seniority level
Mid-Senior level","Employment type
Full-time","Introduction

A Technology Sales Engineer role (what we internally call a, 'Partner Technical Specialist') within IBM's Data & AI brand means accelerating enterprises' success by improving their ability to understand their data. It means providing solutions that enable people across organizations, in multiple roles, the ability to turn data into actionable insights without having to wait for IT. And it means selling multi-award winning software, and world-class design practices that enables busi"
Front End Developer (Mobile),Krungthai Bank,Bangkok Metropolitan Area,3 weeks ago,"Seniority level
Mid-Senior level","Employment type
Full-time","Front End Developer (Mobile)
Krungthai Bank PCL.

Designs, develops and enhances applications on mobile platforms, such as IOS and Android to meet specific business objectives and users' requirements.




Show more"
,,,,,,
,,,,,,
Software Engineer,Good Money by GSB,Bangkok Metropolitan Area,3 weeks ago,"Seniority level
Mid-Senior level","Employment type
Full-time","Key Responsibilities:
Design, develop, and implement software applications based on business needs.
Write clean, scalable, and efficient code following best practices.
Collaborate with designers, product managers, and other developers to create seamless user experiences.
Show more"
Software Engineer Intern,Sertis,"Bangkok, Bangkok City, Thailand",2 hours ago,"Seniority level
Not Applicable","Employment type
Internship","This role is for candidates who are available to work as interns during summer internship 2025

Who is Sertis?

Sertis is a leading Data and AI company based in the heart of Bangkok. We provide both off-the-shelf and customized solutions for our clients ranging from data infrastructure, BI development, and data-driven business insights to forecasting, optimization, and computer vision. Our expert team of data and AI consultants work closely with clients, across different industries such as retai"
Python Application Developer,LSEG (London Stock Exchange Group),"Bangkok, Bangkok City, Thailand",1 week ago,"Seniority level
Entry level","Employment type
Full-time","At LSEG, we consider on providing opportunities equally as priority, we strive to establish teams that are diverse and encourage coordinated working and sharing of ideas!

We are looking for python application developer for Market Data Analytics Application handling and leading large scale of data both structured and unstructured. This application involves real-time high frequency and time series data including static referenced and fundamental data.

Our group covers analytics of various asset "
Test Development Engineer,Analog Devices,"Chonburi, Chon Buri, Thailand",1 week ago,"Seniority level
Entry level","Employment type
Full-time","Company Description
Analog Devices, Inc. (NASDAQ: ADI) is a global leader in semiconductors, connecting the physical and digital worlds to foster breakthroughs at the Intelligent Edge. ADI combines analog, digital, and software technologies to drive advancements in industries such as digitized factories, mobility, and digital healthcare, as well as efforts to combat climate change. With over $9 billion in revenue and approximately 24,000 employees worldwide, ADI is dedicated to helping today’s i"
,,,,,,
,,,,,,
Solution Engineer,Snowflake,"Bangkok, Bangkok City, Thailand",1 week ago,"Seniority level
Entry level","Employment type
Full-time","Build the future of the AI Data Cloud. Join the Snowflake team.

The Solution Engineer will collaborate closely with Sales, Product, Engineering, and Marketing, and will be responsible for providing technical expertise to ensure Snowflake customers achieve success. This role requires a broad range of skills and experience, encompassing data architecture, ETL/ELT, data science, security, performance analysis, and analytics. You will possess the insight to connect a customer’s specific business ch"
Software Engineer I (CH2),Favorite Medium,"Chiang Mai, Chiang Mai, Thailand",1 year ago,"Seniority level
Entry level","Employment type
Full-time","Favorite Medium is a global consultancy specialising in digital product design and development. Established in 2006, we have launched over 125 products for clients around the world in the energy, technology, and financial services verticals. You will be working to solve challenging problems with a group of talented teammates from diverse backgrounds.

We are looking for a meticulous, curious junior software engineer to join our growing team. An ideal candidate will have a strong academic backgro"
Cloud Engineer,KPMG Thailand,"Bangkok, Bangkok City, Thailand",4 weeks ago,"Seniority level
Mid-Senior level","Employment type
Full-time","Job Description
The cloud Engineer role involves developing, managing, and optimizing infrastructure through cloud platforms. In this position, you will be responsible for deploying and debugging cloud stacks, educating teams on new cloud initiatives, and ensuring the security of the cloud infrastructure.


Show more"
Enterprise Architecture,ttb bank,Bangkok Metropolitan Area,2 weeks ago,"Seniority level
Director","Employment type
Full-time","Enterprise Architecture

Job Descriptions:
To review the solution in software development, software monitoring and DevSecOps domains and provide recommendation to ensure its’ align EA strategy and guideline to deliver automated software delivery and monitoring

Show more"
,,,,,,
,,,,,,
Full Stack Developer,KPMG Thailand,"Bangkok, Bangkok City, Thailand",4 weeks ago,"Seniority level
Mid-Senior level","Employment type
Full-time","Job Description
The developer will play a key role in designing, developing, and maintaining high-performance software applications. They will collaborate with cross-functional teams to deliver effective solutions and mentor junior developers to ensure projects meet high standards of quality and performance.

Show more"
"Senior Manager, Data Science & Analytics",Anantara Vacation Club,"Phuket, Phuket, Thailand",2 weeks ago,"Seniority level
Mid-Senior level","Employment type
Full-time","Company Description
A unique ownership product offering the opportunity for five-star holidays in choice destinations. The vacation lifestyle is yours to explore with Anantara and affiliated destinations, from one exotic locale to the next, for your family today and generations to come.



Show more"
วิศวกรเครื่องกล ประจำที่การบินไทยสุวรรณภูมิ,KG Engineering,"Bangkok, Bangkok City, Thailand",2 weeks ago,"Seniority level
Not Applicable","Employment type
Full-time","รายละเอียดงาน : ควบคุมดูแลงานระบบประกอบอาคาร

คุณสมบัติผู้สมัคร : 1. เพศชาย อายุไม่เกิน 35 ปี

Show more"
"Research Scientist, Quantum Chemistry",Quantinuum,"Non Sung, Nakhon Ratchasima, Thailand",1 month ago,"Seniority level
Mid-Senior level","Employment type
Full-time","Are you ready to push the boundaries of what's possible in quantum computing? Quantinuum is seeking 3 passionate and creative Research Scientists to delve into the applications of quantum computing for simulating molecules and materials at an ab initio level. This is your chance to work at the intersection of cutting-edge technology and real-world industrial challenges, where your research can lead to ground-breaking discoveries in drug research, catalyst design, advanced materials, and beyond. "
,,,,,,
,,,,,,
Software Engineer,Perceptra,"Bangkok, Bangkok City, Thailand",5 hours ago,"Seniority level
Entry level","Employment type
Full-time","ABOUT PERCEPTRA
Perceptra is the leading deep health tech startup in Thailand. Our aim is to develop the artificial intelligence platform for the healthcare industry. Currently, our first product Inspectra CXR is the best AI software for chest x-ray analysis in the SEA market, with 8 deep learning services deployed on the cloud supporting Radiologists’ workflow through website interface and API services connected directly to hospital’s IT systems. Today, our platform is actively used by 90+ hosp"
เจ้าหน้าที่วิเคราะห์ข้อมูล(ตัวเลข),THANULUX PUBLIC COMPANY LIMITED,"Bangkok, Bangkok City, Thailand",2 weeks ago,"Seniority level
Not Applicable","Employment type
Full-time","รายละเอียดงาน : รับผิดชอบงานด้านวิเคราะห์อัตรากำลังคน ,ยอดขาย และแนวโน้มของสินค้า เพื่อเปรียบเทียบ เป็นแนวทางในการปรับปรุงเพื่อส่งให้หน่วยงานธุรกิจพัฒนาสินค้าต่อไป

คุณสมบัติผู้สมัคร : 1. เพศหญิง อายุ 22-27 ปี

Show more"
"IT Developer, Chemicals Business",SCG,"Bangkok, Bangkok City, Thailand",2 weeks ago,"Seniority level
Entry level","Employment type
Full-time","Key Responsibilities:
Gather business requirement, analyze, design solutions
Develop a web/mobile/desktop application to serve the business requirement
Administer and operate IT system
Coordinate with other team and suppliers to develop and support IT system

Show more"
Application Developer,Reeracoen Thailand,"Vadhana, Bangkok City, Thailand",6 days ago,"Seniority level
Associate","Employment type
Full-time","Position : Application Developer (71678)
Company Business : Providing Enterprise Solutions and Finance Solutions
Location : BTS Asoke / MRT Sukhumvit
Salary : 50,000-80,000 THB (Based on work experience)




Show more"
,,,,,,
,,,,,,
